"Structure",Lambda,Avg J_t,Stddev J_t,Avg J_cv,Stddev J_cv,Avg F1_score,Stddev F1_score
"30 2 1 1",1.0,0.6603469607553012,0.0002573990720789774,0.6603462615962559,0.0023507811676712377,0.0,0.0
"30 3 5 1",1.0,0.6604386950899777,0.0001508178141480795,0.6603475483734162,0.00230153466646156,0.0,0.0
"30 2 2 1",1.0,0.660350712212596,0.00025584723653794214,0.6603572586882656,0.0023109324899230933,0.0,0.0
"30 5 4 1",1.0,0.660359218049119,0.00031036231260706996,0.6603803911360567,0.0022158798322031506,0.0,0.0
"30 1 3 1",1.0,0.6603695342891494,0.0003116294462080613,0.6603900883974876,0.002232060300698181,0.0,0.0
"30 3 4 1",1.0,0.6604202430228782,0.0002825930038187498,0.6603945448407346,0.00223126105095022,0.0,0.0
"30 1 4 1",1.0,0.66044058076858,0.00023469428599180508,0.6603948563369942,0.002233792597020278,0.0,0.0
"30 4 4 1",1.0,0.6604147340025875,0.0002669522270294114,0.6603967057975986,0.002228311160413577,0.0,0.0
"30 2 4 1",1.0,0.6604002869397798,0.0003447251404193807,0.6604504142926915,0.002174362694547299,0.0,0.0
"30 4 5 1",1.0,0.6604068808849911,0.00035354028510753936,0.660458908591486,0.0021657842439178863,0.0,0.0
"30 2 5 1",1.0,0.6605033777382845,0.0003147458138493384,0.6605083535285676,0.0021129809335276397,0.0,0.0
"30 1 5 1",1.0,0.6605287008548311,0.0003238240219778335,0.6605406815142068,0.002127322349378236,0.0,0.0
"30 5 5 1",1.0,0.6606270688152758,0.0002819094505584593,0.660625048654207,0.0020779885680996804,0.0,0.0
