Iterations,J_t
2470,0.06728674809898323
2480,0.06727695328889219
2490,0.06726730258146779
2500,0.06725779165361057
2510,0.06724841628354256
2520,0.06723917234829829
2530,0.06723005582123721
2540,0.06722106276957951
2550,0.06721218935196992
2560,0.06720343181607562
2570,0.06719478649621938
2580,0.06718624981105475
2590,0.06717781826128534
2600,0.06716948842743141
2610,0.06716125696764774
2620,0.06715312061559361
2630,0.06714507617835677
2640,0.0671371205344337
2650,0.06712925063176384
2660,0.06712146348582108
2670,0.06711375617775907
2680,0.06710612585260999
2690,0.06709856971753642
2700,0.06709108504013221
2710,0.06708366914677083
2720,0.06707631942099887
2730,0.06706903330197114
2740,0.06706180828292453
2750,0.06705464190968674
2760,0.06704753177921788
2770,0.06704047553818038
2780,0.06703347088153383
2790,0.06702651555115283
2800,0.06701960733446309
2810,0.06701274406309458
2820,0.06700592361154642
2830,0.06699914389586466
2840,0.06699240287232654
2850,0.06698569853613164
2860,0.06697902892009776
2870,0.06697239209335867
2880,0.06696578616006381
2890,0.06695920925807741
2900,0.06695265955767643
2910,0.066946135260247
2920,0.06693963459697841
2930,0.06693315582755363
2940,0.06692669723883635
2950,0.06692025714355497
2960,0.06691383387898249
2970,0.06690742580561261
2980,0.06690103130583169
2990,0.06689464878258791
3000,0.0668882766580551
3010,0.06688191337229521
3020,0.06687555738191459
3030,0.06686920715871884
3040,0.06686286118836295
3050,0.06685651796899761
3060,0.06685017600991364
3070,0.06684383383017985
3080,0.06683748995727881
3090,0.06683114292573784
3100,0.06682479127575473
3110,0.06681843355181873
3120,0.06681206830132667
3130,0.06680569407319178
3140,0.0667993094164477
3150,0.06679291287884329
3160,0.06678650300543285
3170,0.06678007833715496
3180,0.0667736374094057
3190,0.06676717875060054
3200,0.06676070088072826
3210,0.06675420230989387
3220,0.06674768153685229
3230,0.06674113704753074
3240,0.06673456731354142
3250,0.0667279707906835
3260,0.06672134591743473
3270,0.066714691113434
3280,0.06670800477795431
3290,0.06670128528836779
3300,0.06669453099860345
3310,0.0666877402375997
3320,0.06668091130775247
3330,0.0666740424833618
3340,0.06666713200907948
3350,0.0666601780983586
3360,0.06665317893191218
3370,0.06664613265617979
3380,0.06663903738181036
3390,0.06663189118216409
3400,0.06662469209183804
3410,0.06661743810522337
3420,0.06661012717509865
3430,0.06660275721126684
3440,0.06659532607924468
3450,0.06658783159901172
3460,0.06658027154382778
3470,0.06657264363913022
3480,0.06656494556151993
3490,0.06655717493784816
3500,0.06654932934441643
3510,0.06654140630630065
3520,0.06653340329681551
3530,0.06652531773713077
3540,0.06651714699605628
3550,0.0665088883900092
3560,0.06650053918318193
3570,0.0664920965879253
3580,0.06648355776536509
3590,0.06647491982626873
3600,0.06646617983218105
3610,0.06645733479684478
3620,0.06644838168792663
3630,0.06643931742906266
3640,0.0664301389022448
3650,0.06642084295056157
3660,0.06641142638131083
3670,0.06640188596950027
3680,0.06639221846174842
3690,0.06638242058059897
3700,0.06637248902926043
3710,0.06636242049677836
3720,0.06635221166364894
3730,0.06634185920787619
3740,0.06633135981147528
3750,0.0663207101674208
3760,0.06630990698703346
3770,0.06629894700779887
3780,0.06628782700160438
3790,0.06627654378337802
3800,0.06626509422011023
3810,0.06625347524023233
3820,0.0662416838433235
3830,0.06622971711011086
3840,0.0662175722127281
3850,0.06620524642518744
3860,0.06619273713401841
3870,0.06618004184902518
3880,0.06616715821410656
3890,0.06615408401808025
3900,0.06614081720545396
3910,0.06612735588707615
3920,0.06611369835060558
3930,0.0660998430707307
3940,0.06608578871907277
3950,0.06607153417370697
3960,0.066057078528234
3970,0.06604242110033855
3980,0.066027561439773
3990,0.06601249933570717
4000,0.06599723482338767
4010,0.06598176819005967
4020,0.06596609998010254
4030,0.06595023099934161
4040,0.06593416231850333
4050,0.06591789527578605
4060,0.06590143147852992
4070,0.06588477280397073
4080,0.06586792139907609
4090,0.06585087967946471
4100,0.06583365032742088
4110,0.06581623628901856
4120,0.06579864077038057
4130,0.06578086723310052
4140,0.06576291938886429
4150,0.06574480119330618
4160,0.06572651683914839
4170,0.06570807074866503
4180,0.06568946756552096
4190,0.06567071214603683
4200,0.06565180954992682
4210,0.06563276503056371
4220,0.0656135840248168
4230,0.06559427214251304
4240,0.06557483515556552
4250,0.065555278986815
4260,0.06553560969862174
4270,0.06551583348124945
4280,0.06549595664107338
4290,0.06547598558864542
4300,0.06545592682664757
4310,0.0654357869377585
4320,0.06541557257245934
4330,0.06539529043680473
4340,0.06537494728017769
4350,0.06535454988305567
4360,0.06533410504480619
4370,0.06531361957153821
4380,0.06529310026403118
4390,0.06527255390576955
4400,0.06525198725110731
4410,0.0652314070135947
4420,0.06521081985449528
4430,0.0651902323715296
4440,0.06516965108787803
4450,0.0651490824414802
4460,0.0651285327746694
4470,0.0651080083241791
4480,0.06508751521156267
4490,0.06506705943406207
4500,0.06504664685596533
4510,0.06502628320048699
4520,0.06500597404220662
4530,0.06498572480009482
4540,0.06496554073115546
4550,0.06494542692470553
4560,0.06492538829731449
4570,0.06490542958841293
4580,0.06488555535658518
4590,0.06486576997654414
4600,0.0648460776367922
4610,0.06482648233795733
4620,0.06480698789179597
4630,0.06478759792084411
4640,0.06476831585869819
4650,0.06474914495089702
4660,0.064730088256379
4670,0.06471114864948135
4680,0.06469232882244554
4690,0.06467363128839375
4700,0.06465505838473423
4710,0.06463661227695969
4720,0.064618294962793
4730,0.06460010827664357
4740,0.06458205389432942
4750,0.06456413333802842
4760,0.06454634798141576
4770,0.06452869905495395
4780,0.06451118765129324
4790,0.06449381473075448
4800,0.06447658112685621
4810,0.06445948755185957
4820,0.0644425346023009
4830,0.06442572276448819
4840,0.06440905241993461
4850,0.0643925238507134
4860,0.06437613724471102
4870,0.06435989270076442
4880,0.06434379023366919
4890,0.0643278297790439
4900,0.06431201119804439
4910,0.06429633428191678
4920,0.06428079875638551
4930,0.06426540428587031
4940,0.0642501504775308
4950,0.06423503688513371
4960,0.06422006301274757
4970,0.06420522831826093
4980,0.06419053221672724
4990,0.06417597408354134
5000,0.06416155325744687
5010,0.0641472690433819
5020,0.06413312071516514
5030,0.0641191075180297
5040,0.06410522867100714
5050,0.0640914833691702
5060,0.0640778707857378
5070,0.06406439007404847
5080,0.06405104036941034
5090,0.06403782079083055
5100,0.06402473044263182
5110,0.06401176841596254
